run_name,arch,model_id,sft_sarcasm_score_mean,sft_near_copy_rate,sft_exact_copy_rate,sft_avg_similarity_to_factual,sft_high_repeat_rate,sft_n_examples,dpo_sarcasm_score_mean,dpo_near_copy_rate,dpo_exact_copy_rate,dpo_avg_similarity_to_factual,dpo_high_repeat_rate,dpo_n_examples,sft_combined_sarcasm_score_mean,sft_combined_near_copy_rate,sft_combined_exact_copy_rate,sft_combined_avg_similarity_to_factual,sft_combined_high_repeat_rate,sft_combined_n_examples,sft_real_sarcasm_score_mean,sft_real_near_copy_rate,sft_real_exact_copy_rate,sft_real_avg_similarity_to_factual,sft_real_high_repeat_rate,sft_real_n_examples,sft_synthetic_good_sarcasm_score_mean,sft_synthetic_good_near_copy_rate,sft_synthetic_good_exact_copy_rate,sft_synthetic_good_avg_similarity_to_factual,sft_synthetic_good_high_repeat_rate,sft_synthetic_good_n_examples,dpo_combined_sarcasm_score_mean,dpo_combined_near_copy_rate,dpo_combined_exact_copy_rate,dpo_combined_avg_similarity_to_factual,dpo_combined_high_repeat_rate,dpo_combined_n_examples,dpo_real_sarcasm_score_mean,dpo_real_near_copy_rate,dpo_real_exact_copy_rate,dpo_real_avg_similarity_to_factual,dpo_real_high_repeat_rate,dpo_real_n_examples,dpo_synthetic_good_sarcasm_score_mean,dpo_synthetic_good_near_copy_rate,dpo_synthetic_good_exact_copy_rate,dpo_synthetic_good_avg_similarity_to_factual,dpo_synthetic_good_high_repeat_rate,dpo_synthetic_good_n_examples
t5_truncated_vanilla,t5,narwhalsilent/satire-sft-t5_training_truncated_vanilla,0.2012,0.1931,0.0860,0.7041,0.0166,2838,0.2113,0.0000,0.0000,0.3892,0.0772,2838,0.2012,0.1931,0.0860,0.7041,0.0166,2838,0.1978,0.1974,0.0944,0.7041,0.0172,1515,0.2093,0.3061,0.1388,0.7539,0.0099,807,0.2113,0.0000,0.0000,0.3892,0.0772,2838,0.2095,0.0000,0.0000,0.3925,0.0733,1515,0.1979,0.0000,0.0000,0.4223,0.0595,807
bart_full_vanilla,bart,narwhalsilent/satire-sft-bart_training_full_vanilla,,,,,,,,,,,,,0.1755,0.1579,0.0557,0.7015,0.0007,2838,0.1734,0.1670,0.0614,0.7018,0.0013,1515,,,,,,,,,,,,,,,,,,,,,,,,
bart_full_weighted,bart,narwhalsilent/satire-sft-bart_training_full_weighted,,,,,,,,,,,,,0.1796,0.1614,0.0564,0.7097,0.0004,2838,0.1766,0.1710,0.0614,0.7114,0.0007,1515,0.2056,0.2107,0.0607,0.7193,0.0000,807,,,,,,,,,,,,,,,,,,
bart_full_curriculum,bart,narwhalsilent/satire-sft-bart_training_full_curriculum,,,,,,,,,,,,,0.1459,0.3280,0.1875,0.7426,0.0113,2838,0.1474,0.3327,0.1828,0.7448,0.0106,1515,0.1851,0.2937,0.1363,0.7244,0.0149,807,,,,,,,,,,,,,,,,,,
bart_truncated_vanilla,bart,narwhalsilent/satire-sft-bart_training_truncated_vanilla,,,,,,,,,,,,,0.1907,0.3192,0.1568,0.7606,0.0014,2838,0.1896,0.3281,0.1683,0.7625,0.0007,1515,,,,,,,,,,,,,,,,,,,,,,,,
bart_truncated_weighted,bart,narwhalsilent/satire-sft-bart_training_truncated_weighted,,,,,,,,,,,,,0.1926,0.3365,0.1646,0.7719,0.0018,2838,0.1891,0.3452,0.1710,0.7736,0.0007,1515,0.2190,0.4411,0.1871,0.8152,0.0012,807,,,,,,,,,,,,,,,,,,
bart_truncated_curriculum,bart,narwhalsilent/satire-sft-bart_training_truncated_curriculum,,,,,,,,,,,,,0.1888,0.2343,0.1381,0.6786,0.0039,2838,0.1872,0.2416,0.1386,0.6824,0.0020,1515,0.2201,0.2354,0.1214,0.6912,0.0050,807,,,,,,,,,,,,,,,,,,
t5_full_vanilla,t5,narwhalsilent/satire-sft-t5_training_full_vanilla,,,,,,,,,,,,,0.1854,0.1850,0.0765,0.7209,0.0130,2838,0.1820,0.1908,0.0838,0.7212,0.0119,1515,0.2093,0.2763,0.1165,0.7521,0.0136,807,,,,,,,,,,,,,,,,,,
t5_full_weighted,t5,narwhalsilent/satire-sft-t5_training_full_weighted,,,,,,,,,,,,,0.1868,0.1843,0.0786,0.7242,0.0187,2838,0.1812,0.1921,0.0865,0.7270,0.0172,1515,0.2106,0.2813,0.1152,0.7627,0.0087,807,,,,,,,,,,,,,,,,,,
t5_full_curriculum,t5,narwhalsilent/satire-sft-t5_training_full_curriculum,,,,,,,,,,,,,0.1446,0.4542,0.2389,0.7940,0.0275,2838,0.1396,0.4429,0.2383,0.7928,0.0290,1515,0.1848,0.4957,0.2503,0.8109,0.0335,807,,,,,,,,,,,,,,,,,,
t5_truncated_weighted,t5,narwhalsilent/satire-sft-t5_training_truncated_weighted,,,,,,,,,,,,,0.2016,0.2558,0.1173,0.7468,0.0081,2838,0.1960,0.2627,0.1228,0.7508,0.0059,1515,0.2081,0.3891,0.1735,0.8022,0.0062,807,0.2111,0.0000,0.0000,0.3880,0.0881,2838,0.2111,0.0000,0.0000,0.3861,0.0878,1515,0.1966,0.0000,0.0000,0.4209,0.0694,807
t5_truncated_curriculum,t5,narwhalsilent/satire-sft-t5_training_truncated_curriculum,,,,,,,,,,,,,0.1993,0.2262,0.1057,0.7276,0.0099,2838,0.1929,0.2244,0.1102,0.7294,0.0139,1515,0.2056,0.3519,0.1623,0.7815,0.0062,807,,,,,,,,,,,,,,,,,,
